Home ID,consumo_kwh,cantidad_personas,cantidad_equipos,temperatura_exterior,uso_horario_pico,IEE,categoria
250,315.49,5,10,14.159708737864078,False,70.58334894100685,Moderado
434,309.97,2,10,14.605660377358491,False,58.813259025806865,Moderado
20,277.74,4,10,13.7489010989011,False,80.90271810312979,Eficiente
323,286.06,3,10,14.49684210526316,False,74.64071992733467,Moderado
333,291.22,3,10,14.787373737373738,False,72.85262698931763,Moderado
57,320.25,2,10,15.69502487562189,False,55.00080975967469,Moderado
302,300.79,4,10,14.357222222222225,False,73.19562682095476,Moderado
230,319.56,5,10,14.908490566037736,False,69.25219564608054,Moderado
332,332.55,4,10,15.31725663716814,False,62.57622468985373,Moderado
133,364.14,3,10,14.824897959183671,False,47.58368570245675,Ineficiente
138,277.44,2,10,15.892934782608696,False,70.87736161600922,Moderado
424,286.21,4,10,15.2205,False,78.07065462547156,Moderado
336,276.66,1,10,15.551648351648351,False,50.9722366274739,Moderado
26,289.22,2,10,16.173711340206186,False,66.50862111454646,Moderado
465,317.05,4,10,15.243564356435645,False,67.75886741756362,Moderado
282,304.26,3,10,16.096097560975608,False,68.33388049479396,Moderado
248,291.6,5,10,14.93948717948718,False,78.39692442400184,Moderado
238,333.11,3,10,16.34816513761468,False,58.336500405299496,Moderado
118,297.23,4,10,14.470149253731345,False,74.38596282809328,Moderado
43,284.53000000000003,4,10,13.4015625,False,78.6323862243459,Moderado
221,314.06,1,10,15.258653846153846,False,34.37208293653413,Ineficiente
177,311.34,5,10,13.713930348258708,False,71.94066741126342,Moderado
321,330.13,5,10,14.247474747474747,False,65.79512185557167,Moderado
154,293.31,1,10,14.309004739336492,False,43.58206125436836,Ineficiente
232,319.23,1,10,15.222815533980585,False,32.07735580866891,Ineficiente
228,302.1,5,10,14.976,False,74.96274516190692,Moderado
418,285.87,2,10,15.089393939393938,False,67.75100487345141,Moderado
204,316.91,4,10,15.560189573459716,False,67.80567838413648,Moderado
127,308.14,1,10,15.09855072463768,False,36.99970084697166,Ineficiente
330,277.17,5,10,15.085,False,83.11646792419513,Eficiente
32,340.37,4,10,14.853070175438596,False,59.96149784271236,Moderado
114,321.72,2,10,14.782432432432431,False,54.455644349050715,Moderado
471,311.72,1,10,16.27710280373832,False,35.41070217815976,Ineficiente
272,315.56,5,10,14.40144927536232,False,70.56045441259289,Moderado
141,258.68,1,10,14.31470588235294,False,58.95273832167436,Moderado
58,286.97,4,10,16.93978494623656,False,77.81653794979029,Moderado
193,328.17,4,10,14.819251336898397,False,64.04073921549048,Moderado
25,302.0,2,10,13.551674641148326,False,61.76901978952998,Moderado
18,274.33,1,10,15.210309278350516,False,52.00641732533193,Moderado
266,289.21,3,10,14.316831683168315,False,73.54915156401033,Moderado
67,282.77,5,10,16.6975,False,81.28490565107786,Eficiente
209,289.45,5,10,17.13897435897436,False,79.10011351100223,Moderado
480,231.7,3,10,12.62,False,93.47807111156065,Eficiente
95,346.17,2,10,15.84746543778802,False,45.38809721316238,Ineficiente
254,278.79,3,10,14.656,False,77.15999040395944,Moderado
267,286.61,3,10,14.611167512690356,False,74.45012862580185,Moderado
24,299.18,5,10,16.14467005076142,False,75.91777406146095,Moderado
223,301.51,5,10,16.668780487804877,False,75.15571332996751,Moderado
262,323.01,1,10,15.304954954954956,False,30.399586264504425,Ineficiente
427,243.65,2,10,14.142528735632183,False,83.40874884388926,Eficiente
6,333.99,1,10,14.275233644859814,False,25.526065207645626,Ineficiente
117,288.86,1,10,15.120707070707072,False,45.55721323096413,Ineficiente
46,296.91,5,10,13.17810945273632,False,76.66021091145669,Moderado
17,314.85,1,10,13.140487804878047,False,34.02143797889127,Ineficiente
463,285.25,4,10,14.791625615763548,False,78.39164411054261,Moderado
358,274.28,3,10,13.90994764397906,False,78.7228390765286,Moderado
4,262.56,5,10,13.543333333333337,False,87.89488306888148,Eficiente
219,300.03,4,10,13.62041884816754,False,73.44974349663603,Moderado
406,256.43,5,10,16.875280898876404,False,89.89978962856165,Eficiente
61,367.86,3,10,14.768995633187773,False,46.29459544481655,Ineficiente
111,324.81,5,10,16.49423076923077,False,67.53510601503308,Moderado
319,326.77,2,10,15.073611111111113,False,52.58279719010447,Moderado
429,291.42,1,10,15.264583333333334,False,44.4209460264506,Ineficiente
30,275.02,2,10,15.505882352941176,False,71.77484480900922,Moderado
438,268.13,2,10,15.808080808080808,False,74.33007588329433,Moderado
472,307.63,5,10,14.513824884792626,False,73.15407741720361,Moderado
27,296.74,1,10,14.56933962264151,False,42.05964074207094,Ineficiente
8,301.21,1,10,14.687064676616917,False,40.07561167793992,Ineficiente
454,348.86,2,10,14.745089285714286,False,44.39048159780289,Ineficiente
109,274.9,2,10,16.8,False,71.81934810783568,Moderado
38,270.86,1,10,14.066995073891626,False,53.54659201269985,Moderado
158,276.98,3,10,15.632620320855615,False,77.787209050822,Moderado
