Home ID,consumo_kwh,cantidad_personas,cantidad_equipos,temperatura_exterior,uso_horario_pico
250,315.49,5,10,14.159708737864078,False
434,309.97,2,10,14.605660377358491,False
20,277.74,4,10,13.7489010989011,False
323,286.06,3,10,14.496842105263159,False
333,291.21999999999997,3,10,14.787373737373738,False
57,320.25,2,10,15.69502487562189,False
302,300.79,4,10,14.357222222222223,False
230,319.56,5,10,14.908490566037736,False
332,332.55,4,10,15.317256637168141,False
133,364.14,3,10,14.824897959183673,False
138,277.44,2,10,15.892934782608696,False
424,286.21,4,10,15.2205,False
336,276.66,1,10,15.551648351648351,False
26,289.22,2,10,16.173711340206186,False
465,317.05,4,10,15.243564356435643,False
282,304.26,3,10,16.096097560975608,False
248,291.6,5,10,14.939487179487179,False
238,333.11,3,10,16.34816513761468,False
118,297.23,4,10,14.470149253731343,False
43,284.53000000000003,4,10,13.401562499999999,False
221,314.06,1,10,15.258653846153846,False
177,311.34,5,10,13.713930348258707,False
321,330.13,5,10,14.247474747474747,False
154,293.31,1,10,14.309004739336492,False
232,319.23,1,10,15.222815533980583,False
228,302.1,5,10,14.975999999999999,False
418,285.87,2,10,15.089393939393938,False
204,316.91,4,10,15.560189573459715,False
127,308.14,1,10,15.09855072463768,False
330,277.17,5,10,15.085,False
32,340.37,4,10,14.853070175438596,False
114,321.71999999999997,2,10,14.782432432432431,False
471,311.72,1,10,16.27710280373832,False
272,315.56,5,10,14.40144927536232,False
141,258.68,1,10,14.314705882352941,False
58,286.96999999999997,4,10,16.93978494623656,False
193,328.17,4,10,14.819251336898395,False
25,302.0,2,10,13.551674641148326,False
18,274.33,1,10,15.210309278350516,False
266,289.21,3,10,14.316831683168317,False
67,282.77,5,10,16.6975,False
209,289.45,5,10,17.13897435897436,False
480,231.7,3,10,12.620000000000001,False
95,346.17,2,10,15.847465437788019,False
254,278.79,3,10,14.656,False
267,286.61,3,10,14.611167512690356,False
24,299.18,5,10,16.14467005076142,False
223,301.51,5,10,16.668780487804877,False
262,323.01,1,10,15.304954954954955,False
427,243.65,2,10,14.142528735632185,False
6,333.99,1,10,14.275233644859814,False
