Home ID,consumo_total_kwh,consumo_promedio_kwh,consumo_maximo_kwh,consumo_minimo_kwh,desviacion_consumo_kwh,numero_mediciones,cantidad_personas,temperatura_promedio,temperatura_maxima,temperatura_minima,porcentaje_horario_pico,coeficiente_variacion
1,324.76,1.5391469194312797,4.88,0.1,1.1716948376593659,211,3,13.632701421800947,39.8,-9.9,0.09004739336492891,0.761262503837068
2,311.52,1.4905263157894737,4.93,0.15,1.0964278583577656,209,3,15.357894736842105,39.6,-9.7,0.11961722488038277,0.735597786327597
3,332.06,1.5373148148148148,4.98,0.14,1.2290799027758152,216,5,13.097685185185185,39.9,-9.7,0.18981481481481483,0.7994978588194185
4,262.56,1.4586666666666668,4.92,0.11,1.1536589351049498,180,5,13.543333333333335,38.7,-9.5,0.1,0.790899635583832
5,297.07,1.4351207729468598,4.91,0.12,1.1754201314181616,207,1,13.954106280193237,39.9,-9.9,0.10144927536231885,0.8190391732708098
6,333.99,1.5607009345794394,4.92,0.12,1.2511932236508958,214,1,14.275233644859814,39.6,-9.6,0.1261682242990654,0.8016867267322126
7,312.81,1.4825118483412323,4.95,0.11,1.1621690900667454,211,3,16.121800947867296,40.0,-9.7,0.08530805687203792,0.7839189220424004
8,301.21,1.4985572139303482,4.88,0.11,1.1408051577549074,201,1,14.687064676616915,39.2,-9.6,0.10945273631840796,0.7612690040461353
9,310.69,1.4251834862385322,4.97,0.1,1.109937604964792,218,5,13.649999999999999,39.9,-9.8,0.11467889908256881,0.7788033019483236
10,282.52,1.4869473684210526,4.95,0.12,1.198242163725491,190,3,13.996315789473686,39.9,-9.6,0.12631578947368421,0.8058403338094411
11,244.4,1.3577777777777778,4.74,0.11,1.0188467330394702,180,4,14.213333333333335,39.9,-10.0,0.13333333333333333,0.7503781176231777
12,348.92,1.5788235294117647,4.99,0.11,1.2785597261223394,221,1,15.357013574660634,39.8,-9.4,0.14479638009049775,0.8098180083487246
13,314.83,1.5820603015075376,4.97,0.11,1.1726143959537119,199,5,15.084924623115578,39.8,-9.9,0.12060301507537688,0.741194501142803
14,282.05,1.4464102564102566,4.96,0.14,1.1589879320762524,195,1,13.185641025641024,38.7,-9.9,0.10256410256410256,0.8012857534297791
15,283.85,1.5946629213483148,4.82,0.1,1.231193050018565,178,5,14.525842696629214,40.0,-9.8,0.10674157303370786,0.7720710336561725
16,286.48,1.3974634146341465,4.93,0.1,1.1232207738210618,205,4,15.985853658536586,39.9,-10.0,0.13170731707317074,0.8037568368937366
17,314.85,1.5358536585365854,4.91,0.11,1.1766085685465812,205,1,13.140487804878049,38.8,-9.7,0.11707317073170732,0.7660941926379201
18,274.33,1.4140721649484536,4.92,0.11,1.231001704644545,194,1,15.210309278350516,40.0,-9.2,0.0979381443298969,0.8705366919441612
19,315.74,1.4550230414746543,4.99,0.12,1.1070615612478645,217,5,14.832258064516129,39.5,-9.9,0.1152073732718894,0.7608550034546988
20,277.74,1.526043956043956,4.98,0.16,1.173542005143487,182,4,13.7489010989011,39.4,-9.7,0.13736263736263737,0.7690093070357696
21,300.53,1.4175943396226414,4.95,0.11,1.1435453996694878,212,5,15.157075471698114,39.8,-9.6,0.12264150943396226,0.8066802806040376
22,303.5,1.4661835748792271,5.0,0.11,1.2053760743849942,207,1,16.71014492753623,39.9,-9.9,0.13043478260869565,0.8221181133367176
23,312.69,1.5253170731707317,4.93,0.11,1.2065440526282363,205,4,15.308292682926828,39.9,-9.9,0.1073170731707317,0.7910119632504667
24,299.18,1.5186802030456854,4.95,0.11,1.1638431605290132,197,5,16.14467005076142,39.1,-9.5,0.10152284263959391,0.7663517034033545
25,302.0,1.444976076555024,4.99,0.1,1.2326800556580872,209,2,13.551674641148326,38.7,-9.6,0.09569377990430622,0.853079906068014
26,289.22,1.4908247422680414,4.99,0.13,1.0871740903849476,194,2,16.173711340206186,39.8,-9.9,0.0979381443298969,0.7292433909642481
27,296.74,1.3997169811320755,5.0,0.11,1.048151573231929,212,1,14.56933962264151,40.0,-9.8,0.1320754716981132,0.748831076110969
28,266.03,1.4458152173913041,4.99,0.1,1.1383855832540257,184,5,14.0625,39.9,-9.9,0.11956521739130435,0.7873658885040814
29,278.67,1.4744444444444444,4.95,0.13,1.167643258937354,189,4,17.0994708994709,39.8,-9.6,0.12698412698412698,0.7919208236952665
30,275.02,1.4706951871657754,4.83,0.11,1.1526491451221856,187,2,15.505882352941176,40.0,-9.7,0.10160427807486631,0.7837444190889706
31,265.61,1.5177714285714285,4.96,0.11,1.225094485816903,175,2,14.744,39.6,-10.0,0.13142857142857142,0.8071666541845489
