Outdoor Temperature (°C),Household Size,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,appliance_Air Conditioning,appliance_Computer,appliance_Dishwasher,appliance_Fridge,appliance_Heater,appliance_Lights,appliance_Microwave,appliance_Oven,appliance_TV,appliance_Washing Machine,is_peak_hour,Energy Consumption (kWh)
28.1,2,0,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0,0,0,1,0,0,0,0,0,0,0,0.26
11.4,1,0,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387,0,1,0,0,0,0,0,0,0,0,0,0.92
23.2,5,1,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,-0.8660254037844384,-0.5000000000000004,0,0,0,0,0,0,0,1,0,0,0,1.66
35.5,5,0,1.0,6.123233995736766e-17,0.0,1.0,0.8660254037844386,0.5000000000000001,0,0,0,1,0,0,0,0,0,0,0,0.12
10.0,1,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,-1.0,-1.8369701987210297e-16,0,0,0,1,0,0,0,0,0,0,0,0.14
36.4,1,0,-0.25881904510252157,0.9659258262890681,0.0,1.0,0.49999999999999994,-0.8660254037844387,0,1,0,0,0,0,0,0,0,0,0,1.53
17.1,4,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,0,0,0,0,0,0,0,0,1,0,0,0.82
39.7,3,0,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336,-0.8660254037844384,-0.5000000000000004,0,0,1,0,0,0,0,0,0,0,0,1.56
9.3,4,0,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,0,0,0,1,0,0,0,0,0,0,1,0.11
14.0,2,0,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,1,0,0,0,0,0,0,0,0,0,0,3.44
0.7,1,0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,-0.8660254037844384,-0.5000000000000004,1,0,0,0,0,0,0,0,0,0,1,4.96
1.2,2,1,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,0,0,0,0,1,0,0,0,0,0,0,4.69
26.0,1,0,0.7071067811865475,0.7071067811865476,0.0,1.0,-0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,0,0,0,1,0,1.65
0.3,2,0,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419,0.0,1.0,0,0,0,0,0,1,0,0,0,0,1,1.94
9.6,3,0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,0,0,1,0,0,0.84
25.9,1,0,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0,0,0,1,0,0,0,0,0,0,0,0.25
2.9,5,0,0.7071067811865475,0.7071067811865476,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,0,0,0,0,0,0,1,0,0,0,0,0.71
26.0,3,0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0.77
36.4,1,0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,1,0,0,0,0,0,0,0,0,0,0,4.1
9.5,1,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,3.53
25.0,3,1,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0,0,0,1,0,0,0,0,0,0,0,0.32
35.3,1,1,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,0,0,0,0,0,4.99
24.1,5,0,-0.8660254037844384,-0.5000000000000004,0.0,1.0,-0.8660254037844384,-0.5000000000000004,0,0,0,0,0,0,0,1,0,0,0,1.12
27.0,4,0,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,0,0,0,0,0,1,0,0,0,0,0,0.37
7.5,5,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0,-0.4999999999999997,-0.8660254037844388,0,0,0,0,1,0,0,0,0,0,0,2.24
32.3,4,1,-0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,0,0,1,0,0,0,0,0,0,0,0,0.36
0.7,5,0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1.87
28.3,3,0,-0.8660254037844384,-0.5000000000000004,0.0,1.0,1.2246467991473532e-16,-1.0,1,0,0,0,0,0,0,0,0,0,0,2.42
14.9,4,0,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0,0,0,0,0,0,1,0,0,0,1,1.77
5.4,1,0,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,1,0,0,0,0,0,1.55
-3.2,1,0,0.7071067811865475,0.7071067811865476,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,0,0,0,0,0,0,1,0,0,0,0,0.22
-7.2,2,1,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388,0,0,0,0,0,1,0,0,0,0,0,1.36
7.1,1,0,0.25881904510252074,0.9659258262890683,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,1,0,0,0,0,0,0,0,0,0,0,3.65
29.0,1,0,0.25881904510252074,0.9659258262890683,0.0,1.0,-0.4999999999999997,-0.8660254037844388,0,0,0,0,0,1,0,0,0,0,0,1.48
-8.2,5,1,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0,0,0,0,0,1,0,0,0,0,0,0.53
39.8,5,0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16,0,0,1,0,0,0,0,0,0,0,0,0.46
38.6,5,1,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,0,1,0,0,0,1,1.62
28.8,4,1,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387,0,0,0,0,1,0,0,0,0,0,0,4.64
38.4,5,1,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,-0.8660254037844384,-0.5000000000000004,0,0,0,0,0,0,0,1,0,0,1,0.28
27.9,1,0,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,0,0,0,1,0,0,1.46
3.6,4,0,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0,1,0,0,0,0,0,0,0,0,0,1.44
34.3,1,0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0,0,0,0,0,0,0,1,0,0,1,1.34
